objectId,CV_probability_RS_12,CV_probability_RS_24,CV_probability_RS_32,CV_probability_RS_42,CV_probability_RS_58,CV_probability_RS_12_1,finkclass,number_of_files,common_in_files
ZTF17aaajhzf,0.9958674,0.9138189,0.99736065,0.9919022,0.99632686,0.9918936,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21aagkfcx,0.99787164,0.9657647,0.93298155,0.98828167,0.97908974,0.99094665,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21aaeztlf,0.9267623,0.95528436,0.9838203,0.9734698,0.9780727,0.9896728,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21aaejdkz,0.98092586,0.9066363,0.96154046,0.99416995,0.9899248,0.9873202,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF20adcaqij,0.9585989,0.98585874,0.98424244,0.98612136,0.956305,0.9663694,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aakbyuy,0.9976272,0.9953862,0.99578094,0.9983069,0.9996791,0.99928516,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaantxj,0.9925183,0.97950554,0.9799631,0.9895629,0.96170056,0.98399574,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF20adbxgzv,0.9979983,0.9978382,0.99761367,0.9996668,0.9960957,0.99734455,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF20acnvibe,0.95088696,0.97331333,0.9328049,0.9886996,0.9826079,0.987129,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abccodq,0.99485284,0.9885799,0.9854295,0.98657054,0.981602,0.9732924,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaapqad,0.9895181,0.9021873,0.9964328,0.97518617,0.9626617,0.9439177,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF20abbdcrp,0.99526805,0.9571277,0.9821628,0.9949787,0.99803096,0.9802209,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaarmxh,0.99602354,0.9862622,0.99853265,0.99661463,0.93311584,0.9888447,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaarnyo,0.9990121,0.9963948,0.9990926,0.9947943,0.9883664,0.9957129,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF20aavgdop,0.99657506,0.99461585,0.99327374,0.9901329,0.9982576,0.99323845,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aaerbxy,0.9068442,0.96506816,0.94745153,0.9584616,0.98672014,0.96484315,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abdeyfz,0.9802643,0.91134834,0.9494788,0.9907415,0.9866955,0.99497026,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF20aadcahx,0.98555017,0.9767263,0.9843836,0.9831593,0.9733988,0.98378974,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21abkkiam,0.9964624,0.9909366,0.99674976,0.99038637,0.9997433,0.9975539,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21acljmhb,0.98370486,0.91531736,0.9646971,0.9730067,0.99050295,0.99613523,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaaitci,0.9868989,0.9946465,0.9796292,0.9724086,0.9983223,0.98855454,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF24abyucsd,0.99424124,0.9989537,0.9993926,0.9993481,0.99972445,0.9982844,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaabavb,0.99602354,0.9862622,0.99853265,0.99661463,0.93311584,0.9888447,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF25abungcd,0.9990121,0.9963948,0.9990926,0.9947943,0.9883664,0.9957129,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF25aagvjel,0.9923874,0.95423204,0.9826089,0.9976567,0.98627836,0.9966138,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF25aaguzft,0.99533904,0.94792,0.99019545,0.9974462,0.99701464,0.9977469,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aarkcxh,0.99833125,0.98910415,0.97970116,0.99239045,0.98208207,0.9954423,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaadasj,0.9981968,0.99701214,0.99766386,0.9828667,0.99687177,0.99893075,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaaehby,0.98677665,0.9513323,0.99033386,0.9928248,0.9905752,0.98521084,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaaeslm,0.99731463,0.9636612,0.99564517,0.9986008,0.99819946,0.9976452,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF25aaapxey,0.99076885,0.9983517,0.99878675,0.9948591,0.9948679,0.9974606,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aauxmsi,0.99740845,0.92630523,0.9923639,0.99023134,0.9825882,0.9758546,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21acovods,0.9943486,0.9888974,0.9974088,0.96279734,0.98626745,0.99821717,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF24abvzhxj,0.9947747,0.96918297,0.9908283,0.9852824,0.9919544,0.9968748,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF23abpqhpr,0.97229856,0.9652815,0.9607411,0.9644263,0.9702153,0.96908724,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaagywy,0.99003476,0.9920123,0.99796236,0.99227387,0.9993198,0.99831784,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF23aamnbvb,0.9870417,0.92017573,0.976543,0.9927954,0.9603613,0.95652753,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aakvbaz,0.9844333,0.91614074,0.9691101,0.9793985,0.9787853,0.9831133,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF22abeouso,0.9974813,0.9225906,0.99511445,0.9696376,0.9884946,0.9761687,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF22abclaoq,0.9084179,0.913483,0.9571749,0.98072594,0.9897711,0.9837077,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF22aatikkr,0.9707044,0.94367754,0.9938782,0.99446374,0.99823904,0.97492117,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaylslx,0.947895,0.9616384,0.9228796,0.94537306,0.9966292,0.9792346,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19admczfn,0.9951391,0.99699867,0.9960663,0.98641986,0.99806005,0.9930762,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aajnorp,0.9984006,0.9945281,0.98418254,0.99888927,0.9981432,0.9965532,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
